Date,Index Futures - Contracts,Index Futures - Turnover (Rs cr),Stock Futures - Contracts,Stock Futures - Turnover (Rs cr),Index Options Call - Contracts,Index Options Call - Turnover (Rs cr),Index Options Put - Contracts,Index Options Put - Turnover (Rs cr),Stock Options Call - Contracts,Stock Options Call - Turnover (Rs cr),Stock Options Put - Contracts,Stock Options Put - Turnover (Rs cr),Index Futures - Premium Turnover,Stock Futures - Premium Turnover,Index Options Call - Premium Turnover,Index Options Put - Premium Turnover,Stock Options Call - Premium Turnover,Stock Options Put - Premium Turnover,Total F&O Turnover (Rs cr)
2026-07-15,2147.0,333.04,4.0,0.26,64355276.0,10060402.74,70031532.0,10729339.53,3.0,0.18,4.0,0.33,,,17393.25,20481.25,0.01,0.01,20790076.08
2026-07-14,1286.0,199.12,1.0,0.06,13977481.0,2192156.3,14036950.0,2141285.34,0.0,0.0,0.0,0.0,,,4882.05,6606.37,0.0,0.0,4333640.82
2026-07-13,1198.0,185.99,34.0,2.03,15165176.0,2385195.6,12688043.0,1933590.74,2.0,0.16,2.0,0.1,,,7532.32,6095.25,0.01,0.0,4318974.62
2026-07-10,1210.0,188.22,1.0,0.05,8802335.0,1386831.63,8297380.0,1267806.0,8.0,0.69,2.0,0.12,,,5159.74,4456.53,0.01,0.0,2654826.71
2026-07-09,2481.0,383.27,0.0,0.0,281913474.0,43712050.75,297983608.0,45545557.98,1.0,0.11,8.0,0.38,,,34341.21,33407.01,0.0,0.0,89257992.49
2026-07-08,3180.0,491.76,1.0,0.1,79610846.0,12467762.48,93064799.0,14238212.28,7.0,0.51,13.0,0.98,,,18310.68,31626.34,0.01,0.03,26706468.11
2026-07-07,999.0,157.06,1.0,0.12,14829826.0,2350217.25,14932182.0,2318819.15,6.0,0.55,0.0,0.0,,,5047.31,5111.96,0.01,0.0,4669194.13
2026-07-06,674.0,105.85,0.0,0.0,10656616.0,1686403.22,9506543.0,1469351.42,9.0,0.69,1.0,0.05,,,5089.49,3618.53,0.01,0.0,3155861.23
2026-07-03,1573.0,246.08,5.0,0.29,8136500.0,1286764.87,8698218.0,1343856.47,2.0,0.18,12.0,0.57,,,4548.72,4662.82,0.0,0.01,2630868.46
2026-07-02,1983.0,308.01,2.0,0.13,247122314.0,38451022.99,237054732.0,36441918.85,5.0,0.33,1.0,0.08,,,30265.01,24437.12,0.01,0.0,74893250.39
2026-07-01,1482.0,228.89,3.0,0.18,63587317.0,9885552.15,58421251.0,8913052.97,15.0,1.1,1.0,0.08,,,19636.97,15874.27,0.03,0.0,18798835.37
2026-06-30,1109.0,170.93,7.0,0.5,13138719.0,2050365.6,13062057.0,1983631.76,2.0,0.16,0.0,0.0,,,5162.66,5206.82,0.0,0.0,4034168.95
2026-06-29,1447.0,223.84,7.0,0.41,9027947.0,1415360.01,11417814.0,1737929.14,1.0,0.08,2.0,0.1,,,4239.91,5693.49,0.0,0.01,3153513.58
2026-06-25,6845.0,1062.32,10.0,0.58,265976446.0,41580199.09,287843763.0,44412384.86,33.0,2.18,4.0,0.32,,,29928.84,30754.31,0.03,0.0,85993649.35
2026-06-24,3120.0,480.46,12.0,0.87,70072693.0,10899091.42,61094848.0,9303161.53,8.0,0.37,1.0,0.08,,,22241.08,16060.17,0.02,0.0,20202734.73
2026-06-23,2062.0,316.68,16.0,0.96,17247834.0,2694770.45,17561165.0,2669366.77,8.0,0.47,2.0,0.14,,,4992.4,6687.57,0.02,0.0,5364455.47
2026-06-22,1148.0,177.57,10.0,0.37,7865791.0,1234718.37,7426984.0,1133005.88,80.0,5.2,1.0,0.06,,,3756.2,3007.06,0.12,0.0,2367907.45
2026-06-19,2046.0,317.63,16.0,0.79,7219192.0,1131502.72,7735562.0,1173697.36,9.0,0.7,1.0,0.08,,,4390.29,4402.89,0.02,0.0,2305519.28
2026-06-18,2787.0,431.5,12.0,0.55,247333371.0,38420157.63,233771372.0,35911778.45,4.0,0.3,0.0,0.0,,,26726.25,22076.84,0.0,0.0,74332368.43
2026-06-17,1795.0,278.06,12.0,0.69,45732105.0,7120177.46,46292419.0,7061148.77,55.0,3.14,5.0,0.35,,,14355.63,12422.86,0.05,0.0,14181608.47
2026-06-16,1213.0,186.44,21.0,1.32,12044125.0,1876216.52,12486878.0,1885151.49,59.0,3.31,0.0,0.0,,,4928.63,4228.29,0.06,0.0,3761559.08
2026-06-15,2283.0,350.28,7.0,0.51,11460000.0,1791116.67,12321338.0,1853187.65,138.0,9.82,10.0,0.69,,,6261.29,5819.25,0.36,0.0,3644665.62
2026-06-12,3239.0,487.37,16.0,1.08,10806078.0,1657466.59,10157806.0,1496893.1,223.0,16.58,5.0,0.33,,,7326.65,5753.78,0.41,0.0,3154865.05
2026-06-11,2467.0,365.67,30.0,1.84,284217475.0,42344785.65,272200605.0,40026121.11,1.0,0.05,2.0,0.16,,,33048.21,32701.6,0.0,0.0,82371274.48
2026-06-10,1469.0,218.96,30.0,2.1,56838327.0,8548101.6,56634522.0,8343306.62,7.0,0.51,0.0,0.0,,,18530.6,19160.68,0.02,0.0,16891629.79
2026-06-09,1257.0,186.29,10.0,0.71,12891759.0,1940172.57,14284027.0,2079582.87,5.0,0.34,1.0,0.05,,,5861.22,5529.25,0.01,0.0,4019942.83
2026-06-08,1290.0,191.12,12.0,0.91,9715986.0,1467753.8,9045641.0,1316799.0,14.0,1.16,12.0,0.97,,,5556.5,5837.77,0.02,0.02,2784746.96
2026-06-05,1823.0,272.84,16.0,0.93,9282386.0,1415852.93,11102787.0,1633450.0,28.0,1.89,1.0,0.06,,,6672.17,7336.36,0.03,0.0,3049578.65
2026-06-04,4116.0,614.73,9.0,0.47,296453322.0,44419568.59,268809501.0,39700040.69,12.0,0.95,0.0,0.0,,,38861.15,32818.7,0.02,0.0,84120225.43
2026-06-03,3907.0,584.48,6.0,0.26,87073964.0,13122819.51,84109052.0,12353605.17,221.0,16.04,0.0,0.0,,,29316.28,26811.55,0.48,0.0,25477025.46
2026-06-02,1985.0,299.49,16.0,0.88,17108314.0,2595529.39,17078238.0,2512392.29,7.0,0.51,0.0,0.0,,,7625.15,5942.55,0.01,0.0,5108222.56
2026-06-01,2308.0,348.1,9.0,0.51,9944056.0,1522625.57,12673817.0,1880008.71,6.0,0.45,1.0,0.05,,,4771.14,7529.4,0.01,0.0,3402983.39
