Month,Year,Month No,Trading Days,Index Futures - Contracts,Index Futures - Turnover (Rs cr),Stock Futures - Contracts,Stock Futures - Turnover (Rs cr),Index Options Call - Contracts,Index Options Call - Turnover (Rs cr),Index Options Put - Contracts,Index Options Put - Turnover (Rs cr),Stock Options Call - Contracts,Stock Options Call - Turnover (Rs cr),Stock Options Put - Contracts,Stock Options Put - Turnover (Rs cr),Index Futures - Premium Turnover,Stock Futures - Premium Turnover,Index Options Call - Premium Turnover,Index Options Put - Premium Turnover,Stock Options Call - Premium Turnover,Stock Options Put - Premium Turnover,Total F&O Turnover (Rs cr)
Jul-26,2026,7,13,21952.0,3408.91,58.0,3.61,1044261335.0,162617428.69,1091311701.0,167355447.52,82.0,6.67,49.0,3.04,,,182506.62,189012.52,0.21,0.05,329976298.44
Jun-26,2026,6,21,49716.0,7564.76,284.0,17.24,1501449890.0,229248352.14,1467110196.0,220466643.22,921.0,64.21,48.0,3.44,,,284552.25,265781.19,1.69,0.03,449722645.01
May-26,2026,5,19,48629.0,7431.76,83.0,5.6,1439946799.0,221588288.33,1419288098.0,214445312.48,107.0,7.51,39.0,2.67,,,283448.04,280239.6,0.14,0.02,436041048.35
Apr-26,2026,4,20,67772.0,10373.62,115.0,8.47,1798902563.0,277779006.74,1713075076.0,259984240.61,30.0,2.04,15.0,1.03,,,332726.15,330172.77,0.03,0.0,537773632.51
Mar-26,2026,3,19,97514.0,14754.29,279.0,17.13,1396785225.0,217296430.8,1383862420.0,210165081.09,67.0,4.82,21.0,1.45,,,299672.0,328130.94,0.06,0.02,427476289.58
Feb-26,2026,2,21,43481.0,7234.0,66.0,4.52,1340530251.0,225052283.44,1477947461.0,244288395.92,139.0,11.41,34.0,2.22,,,246184.44,285879.02,0.26,0.03,469347931.51
Jan-26,2026,1,20,38819.0,6485.55,80.0,5.61,1700971170.0,286017316.96,1730387342.0,287146650.58,28.0,1.96,21.0,1.72,,,275185.42,300192.34,0.04,0.03,573170462.38
Dec-25,2025,12,22,29046.0,4974.69,692.0,47.69,1287522622.0,220253336.76,1306799071.0,221190583.31,355.0,26.89,123.0,8.81,,,207246.22,205656.07,0.34,0.08,441448978.15
Nov-25,2025,11,19,33789.0,5748.99,1046.0,64.38,1159622968.0,197938532.66,1175892644.0,198451052.61,114.0,9.06,60.0,4.67,,,190605.9,172526.14,0.15,0.07,396395412.37
Oct-25,2025,10,21,33039.0,5545.86,698.0,54.36,1422258308.0,237864978.94,1367792496.0,226260130.16,120.0,7.89,31.0,2.57,,,232048.57,198378.62,0.12,0.0,464130719.78
Sep-25,2025,9,22,31455.0,5154.25,853.0,56.31,1090607436.0,179287512.53,1144750318.0,185893624.29,383.0,26.8,137.0,10.39,,,172515.07,173708.46,0.4,0.12,365186384.57
Aug-25,2025,8,19,29347.0,4759.63,1175.0,79.39,1041758913.0,170061714.55,1040563490.0,167521825.25,8.0,0.61,35.0,3.64,,,161796.11,164816.99,0.0,0.0,337588383.07
Jul-25,2025,7,23,34328.0,5676.94,1066.0,70.94,1083059575.0,180091972.09,1028549802.0,168718280.49,54.0,3.9,84.0,6.7,,,145436.27,142012.76,0.05,0.12,348816011.06
Jun-25,2025,6,21,57332.0,9400.74,1667.0,109.92,848341648.0,140613083.34,790236217.0,128364672.2,78.0,5.47,60.0,4.46,,,152363.45,139955.84,0.06,0.04,268987276.13
May-25,2025,5,21,47315.0,7719.58,4616.0,291.99,844134201.0,139289980.9,793021296.0,127599726.9,111.0,7.89,90.0,6.38,,,166484.94,167201.16,0.11,0.04,266897733.64
Apr-25,2025,4,19,40282.0,6197.19,1074.0,70.97,844446374.0,132423068.5,855343599.0,130907082.39,2019.0,133.08,571.0,37.66,,,141852.32,152251.81,0.48,0.49,263336589.79
Mar-25,2025,3,19,28115.0,4259.56,1200.0,76.15,825022395.0,125443391.49,795744717.0,118936113.02,20535.0,1224.35,2799.0,167.86,,,122718.14,113483.07,3.81,1.81,244385232.43
Feb-25,2025,2,20,32546.0,4976.04,901.0,56.01,680942129.0,105371839.84,666541030.0,100860767.86,6749.0,407.4,1546.0,93.38,,,112396.65,116675.57,2.2,1.45,206238140.53
Jan-25,2025,1,23,50212.0,5777.49,701.0,47.74,1094366277.0,124151279.0,1082748122.0,120656152.13,1536.0,108.2,1578.0,102.2,,,128644.43,136597.86,1.71,1.76,244813466.76
Dec-24,2024,12,21,57846.0,4663.98,280.0,20.08,1111355755.0,90793725.73,1130735074.0,90422427.68,495.0,41.3,479.0,36.16,,,92211.46,95798.31,0.42,0.35,181220914.93
Nov-24,2024,11,19,42659.0,3439.98,475.0,33.5,1291083780.0,106019075.04,1199046265.0,97043061.78,171.0,13.79,315.0,25.49,,,81011.33,75156.46,0.12,0.25,203065649.58
Oct-24,2024,10,22,47463.0,3914.71,410.0,30.66,1655798061.0,137822583.82,1542675121.0,126435813.91,588.0,48.01,1117.0,88.16,,,96288.96,102552.59,0.77,1.85,264262479.27
Sep-24,2024,9,21,68566.0,5774.6,820.0,63.01,1813412687.0,155347497.01,1731156883.0,146126466.81,605.0,51.78,630.0,50.66,,,103936.98,96637.12,0.46,0.62,301479903.87
Aug-24,2024,8,21,54937.0,4491.76,1354.0,100.71,1619272368.0,133812881.27,1549871507.0,126491647.07,694.0,60.15,537.0,46.79,,,81683.63,78326.06,0.82,0.62,260309227.75
Jul-24,2024,7,22,59154.0,4923.49,4148.0,316.14,1552223317.0,130231536.09,1498086409.0,124025065.33,185.0,15.36,235.0,20.25,,,86713.36,77721.06,0.13,0.18,254261876.66
Jun-24,2024,6,19,34978.0,2723.81,0.0,0.0,1346324635.0,108224842.59,1242473794.0,98148144.49,1.0,0.09,0.0,0.0,,,85283.06,75332.36,0.0,0.0,206375710.98
May-24,2024,5,22,33975.0,2552.14,0.0,0.0,1480962413.0,113135370.49,1413930789.0,106604271.09,0.0,0.0,0.0,0.0,,,78074.38,80786.2,0.0,0.0,219742193.72
Apr-24,2024,4,20,43584.0,3336.67,0.0,0.0,1136394739.0,87127144.35,1087904500.0,82368154.04,0.0,0.0,0.0,0.0,,,59762.22,57625.13,0.0,0.0,169498635.06
