Year,IF_CONTRACTS,IF_TURNOVER,EF_CONTRACTS,EF_TURNOVER,IO_CONTRACTS_CALL,IO_TURNOVER_CALL,IO_CONTRACTS_PUT,IO_TURNOVER_PUT,EO_CONTRACTS_CALL,EO_TURNOVER_CALL,EO_CONTRACTS_PUT,EO_TURNOVER_PUT,TATOL_CONTRACTS,TOTAL_TURNOVER,AVERAGE_TURNOVER,NO_OF_TRADING_DAYS,IF_PremTurnover,EF_PremTurnover,IO_PremTurnover_call,IO_PremTurnover_PUT,EO_PremTurnover_call,EO_PremTurnover_PUT,Total_PremTurnover,Average_PremTurnover
2026-2027,195661.0,29950.84,553.0,35.96,6113451216.0,942042773.05,6034198995.0,914541101.89,1153.0,81.41,182.0,11.88,12147847760.0,1856613955.03,23802743.01,78.0,29950.84,35.96,1134548.46,1129889.13,2.08,0.14,2264439.81,2264439.81
2025-2026,515747.0,83651.71,13312.0,873.21,14060038691.0,2326190211.47,14095146156.0,2296507105.19,3476.0,239.78,1267.0,90.67,28155718649.0,4622782172.03,18715717.3,247.0,83651.71,873.21,2391390.71,2430710.15,2.07,1.04,4822103.97,4822103.97
2024-2025,554035.0,50834.23,10289.0,744.0,15607158556.0,1417481166.72,14940914211.0,1338118085.21,31559.0,1970.43,9236.0,630.95,30548677886.0,2755653431.54,11066881.25,249.0,50834.23,744.0,1128724.6,1106691.79,10.44,8.89,2235435.72,2235435.72
2023-2024,281532.0,20247.13,1.0,0.09,5800012712.0,414316521.5,5499653676.0,388498615.58,0.0,0.0,0.0,0.0,11299947921.0,802835384.3,3475477.85,231.0,20247.13,0.09,259453.91,233206.66,0.0,0.0,492660.57,492660.57
2022-2023,651.0,58.65,0.0,0.0,250324175.0,23977300.64,122260276.0,10337953.68,0.0,0.0,1.0,0.05,372585103.0,34315313.02,137812.5,249.0,58.65,0.0,597.45,282.48,0.0,0.0,879.93,879.93
2021-2022,4454.0,493.52,0.0,0.0,516462443.0,52641382.41,154054127.0,13436451.92,0.0,0.0,0.0,0.0,670521024.0,66078327.85,266444.87,248.0,493.52,0.0,905.43,282.3,0.0,0.0,1187.73,1187.73
2020-2021,53629.0,5010.27,,,202422872.0,22812071.47,135684457.0,12243087.33,0.0,0.0,0.0,0.0,338160958.0,35060169.07,141371.65,248.0,5010.27,,965.45,589.56,0.0,0.0,1555.01,1555.01
2019-2020,150212.0,14933.69,2983.0,163.0,2032161.0,200440.08,480178.0,45522.49,8473.0,626.11,7876.0,583.25,2681883.0,262268.62,1061.82,247.0,14933.69,163.0,372.08,128.09,17.29,16.15,533.61,533.61
2018-2019,438.0,39.13,271.0,17.77,19158.0,1308.5,11298.0,884.63,2.0,0.08,0.0,0.0,31167.0,2250.11,9.11,247.0,39.13,17.77,6.31,2.36,0.0,0.0,8.67,8.67
2017-2018,44117.0,3217.51,467.0,36.76,82.0,5.92,32.0,2.29,3.0,0.18,0.0,0.0,44701.0,3262.66,13.26,246.0,3217.51,36.76,0.03,0.0,0.01,0.0,0.04,0.04
2016-2017,32288.0,2266.86,2901.0,203.08,24433.0,1254.9,63916.0,3214.45,0.0,0.0,0.0,0.0,123538.0,6939.29,27.98,248.0,2266.86,203.08,13.35,20.02,0.0,0.0,33.37,33.37
2015-2016,306712.0,13097.16,51815.0,1349.59,58773325.0,2560540.69,44654651.0,1825708.19,1009439.0,31904.16,1413452.0,42408.53,106209394.0,4475008.32,18117.44,247.0,4230.9,245.52,385.49,274.34,374.25,351.32,1385.4,1385.4
2014-2015,1227926.0,48632.35,305714.0,9794.26,244203156.0,10112605.13,254031531.0,10016621.34,3010092.0,93854.5,2700450.0,81233.84,505478869.0,20362741.42,83797.29,243.0,,,,,,,,
2013-2014,2136269.0,63493.84,1901877.0,54599.42,182685008.0,5705316.57,113674567.0,3349884.04,667365.0,22185.51,877355.0,23945.18,301942441.0,9219434.32,36730.81,251.0,,,,,,,,
2012-2013,4701927.0,122429.78,116933.0,3420.07,116324195.0,3230232.06,140909766.0,3797249.53,178313.0,5186.57,209557.0,5059.75,262440691.0,7163576.66,28654.31,250.0,,,,,,,,
2011-2012,7073334.0,178448.83,326342.0,10215.7,7206514.0,200089.57,17569130.0,418252.79,39848.0,1277.27,7657.0,191.82,32222825.0,808475.99,3246.89,249.0,,,,,,,,
2010-2011,5613.0,154.08,0.0,0.0,0.0,0.0,10.0,0.25,0.0,0.0,0.0,0.0,5623.0,154.33,0.61,255.0,,,,,,,,
2009-2010,3744.0,96.0,8.0,0.3,5276.0,137.76,0.0,0.0,0.0,0.0,0.0,0.0,9028.0,234.06,0.96,244.0,,,,,,,,
2008-2009,495830.0,11757.22,299.0,8.49,251.0,6.11,122.0,3.01,0.0,0.0,0.0,0.0,496502.0,11774.83,48.46,243.0,,,,,,,,
2007-2008,7157078.0,234660.16,295117.0,7609.24,951.0,31.0,210.0,7.66,9.0,0.21,6.0,0.14,7453371.0,242308.41,965.37,251.0,,,,,,,,
2006-2007,1638779.0,55490.86,142433.0,3515.5,2.0,0.06,0.0,0.0,5.0,0.16,1.0,0.04,1781220.0,59006.62,236.97,249.0,,,,,,,,
2005-2006,89.0,5.0,12.0,0.49,100.0,3.2,0.0,0.0,2.0,0.09,0.0,0.0,203.0,8.78,0.03,251.0,,,,,,,,
2004-2005,449630.0,13599.66,6725.0,212.85,48065.0,1470.61,27210.0,826.62,72.0,2.08,17.0,0.5,531719.0,16112.32,63.69,253.0,,,,,,,,
2003-2004,103777.0,3082.63,33437.0,1680.34,0.0,0.0,0.0,0.0,3466.0,139.07,2544.0,119.77,143224.0,5021.81,19.77,254.0,,,,,,,,
