Financial Year,Period,Index Futures - Contracts,Index Futures - Turnover (Rs cr),Stock Futures - Contracts,Stock Futures - Turnover (Rs cr),Index Options - Contracts,Index Options - Notional Turnover (Rs cr),Index Options - Premium Turnover (Rs cr),Stock Options - Contracts,Stock Options - Notional Turnover (Rs cr),Stock Options - Premium Turnover (Rs cr),F&O Total - Contracts,F&O Total - Turnover (Rs cr),Total Premium Turnover (Rs cr),Volume_Futures_QTY,Volume_Futures_VAL,Index_Options_PUT_CALL_RATIO,Stock_Options_PUT_CALL_RATIO,F&O_Total_PUT_CALL_RATIO
2026-2027,24-Jul-2026,199178,31863.59,5215709,343024.9,110630688,17363029.65,58387.93,11253746,765063.83,7443.76,127299321,18502981.97,440720.18,0,0,0.9,0.62,0.87
2026-2027,23-Jul-2026,195366,31219.62,4494107,303024.38,52523479,8316382.53,29957.46,10386804,743398.92,7529.98,67599756,9394025.45,371731.44,0,0,0.91,0.57,0.84
2026-2027,22-Jul-2026,104320,16942.89,1760872,119292.62,46829749,7436857.43,29933.15,9322575,674534.65,7756.78,58017516,8247627.59,173925.44,0,0,1.02,0.55,0.92
2026-2027,21-Jul-2026,70432,11426.92,1353758,91938.49,331007108,52150160.6,54820.2,7823909,557689.94,6763.69,340255207,52811215.95,164949.3,0,0,0.98,0.5,0.97
2026-2027,20-Jul-2026,104478,17246.31,1305675,90092.66,143000020,22605294.03,53476.07,8221464,589557.5,7539.37,152631637,23302190.5,168354.41,0,0,0.92,0.51,0.89
2026-2027,17-Jul-2026,139601,22804.68,1341911,92322.05,99846002,15824817.15,50151.97,8023777,578352.13,8819.74,109351291,16518296.01,174098.44,0,0,0.81,0.52,0.78
2026-2027,16-Jul-2026,72111,11641.46,1136249,79201.47,44820906,7083217.97,24021.74,6901540,500877.05,8706.81,52930806,7674937.95,123571.48,0,0,0.98,0.53,0.91
2026-2027,15-Jul-2026,87622,14349.09,1136125,76206.77,48496905,7675416.42,32055.27,6715461,466254.71,8320.04,56436113,8232226.99,130931.17,0,0,0.99,0.5,0.91
2026-2027,14-Jul-2026,93009,15139.37,1159720,78328.39,387921205,60778193.55,70300.85,5966219,416700.11,7355.98,395140153,61288361.42,171124.59,0,0,1.15,0.49,1.13
2026-2027,13-Jul-2026,84825,13857.14,1074128,71559.67,162092447,25519191.12,59716.18,6491922,436946.23,8449.72,169743322,26041554.16,153582.71,0,0,0.86,0.48,0.84
