Financial Year,Period,Index Futures - Contracts,Index Futures - Turnover (Rs cr),Stock Futures - Contracts,Stock Futures - Turnover (Rs cr),Index Options - Contracts,Index Options - Notional Turnover (Rs cr),Index Options - Premium Turnover (Rs cr),Stock Options - Contracts,Stock Options - Notional Turnover (Rs cr),Stock Options - Premium Turnover (Rs cr),F&O Total - Contracts,F&O Total - Turnover (Rs cr),Total Premium Turnover (Rs cr),Avg Daily Turnover (Rs cr),Volume_Futures_QTY,Volume_Futures_VAL
2026-2027,Jul-2026,352328,57631.19,5195213,351730.59,702696812,111462791.57,196023.33,26070530,1816360.27,38396.27,734314883,113688513.62,643781.38,22737702.724,0,0
2026-2027,Jun-2026,2980532,475353.78,39506408,2566886.6,3676370909,570355932.13,1148733.73,151444901,10078664.97,144899.73,3870302750,583476837.48,4335873.84,27784611.308571428,0,0
2026-2027,May-2026,2780732,440751.64,39385858,2556312.82,3038254197,473745340.94,1112871.57,151042632,10422886.5,164850.23,3231463419,487165291.9,4274786.26,25640278.521052632,0,0
2026-2027,Apr-2026,3302404,521343.4,40834769,2624085.56,2704917038,421288093.78,1124391.4,140102590,9386438.97,165360.18,2889156801,433819961.71,4435180.54,21690998.0855,0,0
2025-2026,Mar-2026,5050759,786942.25,43771113,2709242.79,3507526776,541043997.2,1624667.92,139604708,9153738.67,157388.54,3695953356,553693920.91,5278241.5,29141785.31105263,0,0
2025-2026,Feb-2026,3562565,604938.42,44101611,2959272.64,3553974028,594999788.69,1283969.18,176152997,12313229.55,187214.18,3777791201,610877229.3,5035394.42,29089391.87142857,0,0
2025-2026,Jan-2026,3451231,582391.59,45017467,3030657.34,3556776860,595979184.22,1153153.98,168461130,11920408.18,176099.9,3773706688,611512641.33,4942302.81,30575632.0665,0,0
2025-2026,Dec-2025,2745526,525951.44,37519925,2564596.58,2990707367,583446011.62,946923.03,149184875,10598952.48,133041.92,3180157693,597135512.12,4170512.97,27142523.278181817,0,0
2025-2026,Nov-2025,2661141,523608.66,36368472,2495117.26,2587888973,504058791.97,913277.39,134375026,9763208.69,123624.11,2761293612,516840726.58,4055627.42,27202143.504210528,0,0
2025-2026,Oct-2025,3020613,587060.64,38400573,2711781.09,3053547719,585956101.79,1041798.99,136062559,9886985.9,142690.38,3231031464,599141929.42,4483331.1,28530568.068095237,0,0
