Date,NSE MTF Book (Rs Cr),BSE MTF Book (Rs Cr),Total MTF Book (Rs Cr)
2026-08-14,141311.03,6281.56,147592.59
2026-08-13,141218.93,6289.51,147508.44
2026-08-12,140543.66,6258.5,146802.16
2026-08-11,139836.05,6215.68,146051.73
2026-08-10,139561.6,6178.96,145740.56
2026-08-07,139278.31,6162.53,145440.84
2026-08-06,139137.32,6151.99,145289.31
2026-08-05,138672.78,6137.71,144810.49
2026-08-04,137959.13,6120.92,144080.05
2026-08-03,136319.83,6074.28,142394.11
2026-07-31,136592.03,6078.6,142670.63
2026-07-30,137170.76,6098.84,143269.6
2026-07-29,137461.62,6071.65,143533.27
2026-07-28,138326.93,6082.88,144409.81
2026-07-27,137846.95,6086.71,143933.66
2026-07-24,138098.05,6098.81,144196.86
2026-07-23,138175.98,6076.67,144252.65
2026-07-22,137705.13,6017.15,143722.28
2026-07-21,136723.36,5950.14,142673.5
2026-07-20,135984.97,5916.97,141901.94
2026-07-17,136154.56,5912.35,142066.91
2026-07-16,136433.14,5897.36,142330.5
2026-07-15,135943.08,5897.84,141840.92
2026-07-14,135570.16,5884.22,141454.38
2026-07-13,134254.44,5778.15,140032.59
2026-07-10,133441.54,5753.82,139195.36
2026-07-09,134222.69,5764.91,139987.6
2026-07-08,134393.49,5753.07,140146.56
2026-07-07,134665.35,5733.54,140398.89
2026-07-06,134094.52,5698.06,139792.58
2026-07-03,134387.54,5719.18,140106.72
2026-07-02,134485.91,5703.74,140189.65
2026-07-01,134747.16,5734.58,140481.74
2026-06-30,135044.2,5706.75,140750.95
2026-06-29,134092.35,5649.73,139742.08
2026-06-25,133650.68,5615.39,139266.07
2026-06-24,133773.6,5622.46,139396.06
2026-06-23,133821.06,5614.6,139435.66
2026-06-22,131487.22,5493.84,136981.06
2026-06-19,130655.03,5459.46,136114.49
2026-06-18,130021.18,5385.73,135406.91
2026-06-17,129098.23,5327.98,134426.21
2026-06-16,128629.58,5309.1,133938.68
2026-06-15,127946.36,5267.94,133214.3
2026-06-12,127897.52,5242.47,133139.99
2026-06-11,129539.88,5297.96,134837.84
2026-06-10,129792.4,5284.04,135076.44
2026-06-09,128873.18,5218.7,134091.88
2026-06-08,130018.38,5222.19,135240.57
2026-06-05,128991.01,5182.23,134173.24
2026-06-04,128498.32,5132.77,133631.09
2026-06-03,127898.56,5124.65,133023.21
2026-06-02,126873.88,5069.37,131943.25
2026-06-01,127052.83,5069.61,132122.44
2026-05-29,126333.1,4983.93,131317.03
2026-05-27,124553.02,4918.02,129471.04
2026-05-26,124194.13,4897.71,129091.84
2026-05-25,122836.14,4867.22,127703.36
2026-05-22,123368.5,4843.99,128212.49
2026-05-21,123163.91,4826.4,127990.31
2026-05-20,122288.63,4805.84,127094.47
2026-05-19,121918.96,4796.85,126715.81
2026-05-18,121449.95,4772.51,126222.46
2026-05-15,122150.62,4802.47,126953.09
2026-05-14,121761.47,4373.75,126135.22
2026-05-13,122093.87,4372.25,126466.12
2026-05-12,122525.05,4358.91,126883.96
2026-05-11,121800.36,4339.96,126140.32
2026-05-08,120113.62,4273.29,124386.91
2026-05-07,118190.36,4193.43,122383.79
2026-05-06,116692.63,4141.12,120833.75
2026-05-05,117169.37,4142.48,121311.85
2026-05-04,116455.7,4183.64,120639.34
2026-04-30,116163.25,4171.42,120334.67
2026-04-29,118733.65,4142.56,122876.21
2026-04-28,115031.36,4151.83,119183.19
2026-04-27,114232.82,4142.29,118375.11
2026-04-24,114430.57,4111.57,118542.14
2026-04-23,113031.2,4044.27,117075.47
2026-04-22,111053.82,3990.56,115044.38
2026-04-21,109279.14,4300.6,113579.74
2026-04-20,108726.83,3962.02,112688.85
2026-04-17,107127.0,3929.41,111056.41
2026-04-16,107122.59,3840.07,110962.66
2026-04-15,105844.47,3798.28,109642.75
2026-04-13,106019.09,3825.88,109844.97
2026-04-10,105522.69,3818.38,109341.07
2026-04-09,106199.06,3826.2,110025.26
2026-04-08,105150.8,3811.38,108962.18
2026-04-07,105493.86,3814.67,109308.53
2026-04-06,105565.0,3821.11,109386.11
2026-04-02,105870.3,3840.61,109710.91
2026-04-01,106134.87,3859.3,109994.17
,,,
FY-END SNAPSHOTS (31-Mar),,,
FY 2026-27 to date (as on 14-Aug-2026),141311.03,6281.56,147592.59
FY 2025-26 (as on 30-Mar-2026),105919.61,3865.92,109785.53
FY 2024-25 (as on 28-Mar-2025; BSE 27-Mar-2025),68069.53,3.53,68073.06
FY 2023-24 (as on 28-Mar-2024),54502.91,,54502.91
FY 2022-23 (as on 31-Mar-2023),24917.91,,24917.91
FY 2021-22 (as on 30-Mar-2022),23974.89,,23974.89
FY 2020-21 (as on 31-Mar-2021),12084.34,,12084.34
FY 2019-20 (as on 31-Mar-2020),3061.09,,3061.09
